,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
205,3254,Pharmaceutical and medicine manufacturing,2007.25,0.0,0.0,,2009.5,2716.0,611.0,22.496318114874818
206,3255,"Paint, coating, and adhesive manufacturing",2010.0,1216.0,-1216.0,-100.0,2014.75,1982.0,51.0,2.5731584258324927
207,3256,"Soap, cleaning compound, and toiletry mfg.",2010.0,1231.0,152.0,12.347684809098295,2013.5,2755.0,57.0,2.0689655172413794
208,3259,Other chemical product and preparation mfg.,2010.25,0.0,1352.0,inf,2007.25,3134.0,-251.0,-8.008934269304403
209,3261,Plastics product manufacturing,2007.25,0.0,0.0,,2007.25,11736.0,-773.0,-6.586571233810498
210,3262,Rubber product manufacturing,2010.0,945.0,131.0,13.862433862433862,2007.25,2233.0,-160.0,-7.165248544558889
211,3271,Clay product and refractory manufacturing,2011.0,906.0,88.0,9.713024282560706,2007.25,2018.0,-552.0,-27.35381565906839
212,3272,Glass and glass product manufacturing,2010.0,981.0,105.0,10.703363914373089,2007.25,2265.0,-321.0,-14.172185430463577
213,3273,Cement and concrete product manufacturing,2007.25,0.0,0.0,,2007.25,10150.0,-1236.0,-12.177339901477833
214,3274,Lime and gypsum product manufacturing,2011.5,1081.0,177.0,16.37372802960222,2007.25,431.0,-50.0,-11.600928074245939
215,3279,Other nonmetallic mineral products,2010.0,921.0,133.0,14.440825190010859,2007.25,3684.0,-213.0,-5.781758957654723
216,3311,Iron and steel mills and ferroalloy mfg.,2015.0,1580.0,57.0,3.6075949367088604,2007.25,945.0,-61.0,-6.455026455026455
217,3312,Steel product mfg. from purchased steel,2010.0,1119.0,143.0,12.779267202859696,2007.25,1091.0,-22.0,-2.016498625114574
218,3313,Alumina and aluminum production,2010.0,1092.0,172.0,15.75091575091575,2007.25,748.0,-98.0,-13.101604278074866
219,3314,Other nonferrous metal production,2007.25,1303.0,-15.0,-1.1511895625479662,2011.75,1021.0,9.0,0.881488736532811
220,3315,Foundries,2010.0,929.0,177.0,19.052744886975244,2007.25,2292.0,-367.0,-16.012216404886562
221,3321,Forging and stamping,2010.0,1028.0,140.0,13.618677042801556,2007.25,2607.0,-215.0,-8.247027234369005
222,3322,Cutlery and handtool manufacturing,2011.0,1001.0,168.0,16.783216783216783,2007.25,1575.0,-217.0,-13.777777777777779
223,3323,Architectural and structural metals mfg.,2013.0,987.0,96.0,9.72644376899696,2007.25,15430.0,-1040.0,-6.740116655865197
